tract,tree,grassShrub,bare,water,buildings,roads,otherPaved,totalPixels,percentImp
37.02,151456.7041,97669.46318,0,0,1111074.752,533355.3129,770424.8919,2663981.124,0.906483509
41.01,184799.0346,419045.1784,0,0,1695240.901,727519.4743,998958.1784,4025562.767,0.849997566
40.02,69587.0805,49730.0525,0,0,1647993.352,815933.7888,1128379.29,3711623.564,0.967853116
39.02,443354.3158,421354.7164,0,0,1743629.222,979922.986,1295824.796,4884086.036,0.822953767
40.01,95121.97275,34277.14354,0,0,1592380.476,614003.1809,1054595.049,3390377.823,0.961833423
41.02,170880.8187,181811.6322,0,0,1836692.606,861957.5826,1166764.612,4218107.252,0.916386087
42.02,243094.3738,427698.4475,16791.64117,0,1581629.627,1139273.111,1471602.635,4880089.836,0.859104138
42.01,155586.878,173227.3493,13688.26194,0,1510869.781,910833.8059,1128647.237,3892853.313,0.912017623
79,948137.3441,669930.9937,0,0,1452130.53,504879.009,493445.2961,4068523.173,0.602295902
80,683223.3348,794731.0299,0,0,1707984.352,708207.3373,739690.0398,4633836.094,0.681051652
82,1895777.788,1787918.363,11604.67872,42643.47003,2838885.138,1288225.316,1222151.533,9087206.286,0.588658584
176.01,330555.8789,1032310.507,0,0,1875339.876,1273443.273,1743154.317,6254803.852,0.782108853
83.01,1182825.399,1131204.725,8640.271686,35813.83616,1582039.545,781425.6914,848631.2483,5570580.717,0.576617887
84,332493.4913,551778.6277,0,0,2043522.234,936135.7448,1536743.605,5400673.703,0.836266331
85,622022.5768,951178.7357,0,0,2825658.783,1164688.027,1125269.912,6688818.036,0.764801299
90,897120.549,773043.3681,6698.660067,0,1247057.551,727287.5207,1043936.181,4695143.83,0.642851713
91,684471.0852,637080.5648,0,0,1328201.32,758138.3496,1172947.375,4580838.695,0.711504434
92,688120.3553,1561772.599,17978.40378,0,1043986.171,779274.1218,1420090.939,5511222.59,0.588499408
93,507834.4179,702838.4112,0,0,1666135.723,770896.7975,674628.0541,4322333.404,0.719902951
67,1489109.133,2439604.006,95021.99275,0,2277025.527,2068885.161,2419746.978,10789392.8,0.627065655
69,1717878.373,2403814.165,234422.1085,1175780.809,782407.495,907566.4595,1517878.379,8739747.788,0.367041751
70,365576.8737,708496.2795,0,0,1771485.65,1020940.781,1188405.283,5054904.867,0.787518622
72,559866.01,951688.6337,0,0,1850151.914,1036595.65,1011586.652,5409888.86,0.720594141
73,419314.1246,672647.4503,0,0,1401270.704,820746.826,853373.2997,4167352.404,0.737972346
74,717933.3918,1443557.245,90172.9627,0,2030757.788,1436192.718,1552946.364,7271560.47,0.690346576
77,887547.4639,698213.3364,925.8148093,0,728144.3493,431454.6961,719862.006,3466147.666,0.542233405
78,995363.8974,843957.1832,0,0,1434713.014,791857.6047,534721.0397,4600612.739,0.600200846
115,513653.2539,539363.1112,0,0,1366340.691,565469.8891,1003372.295,3988199.24,0.735966961
117,2049489.041,2001083.723,0,0,1091480.671,575925.7976,1326280.704,7044259.937,0.424982496
118,1126017.763,1721022.744,0,0,2864777.958,1701791.591,2436989.529,9850599.585,0.710977948
119,1190620.84,1589107.131,0,0,1871465.651,1272869.388,1514645.026,7438708.035,0.626315758
120,2201253.683,1632189.513,0,0,985589.8525,714104.1577,923342.3038,6456479.51,0.406264174
121,2454053.116,4008320.216,45966.80526,64337.13064,1010558.858,703735.2318,1187532.458,9474503.815,0.306277416
125,1544729.008,1662316.487,26752.64867,462089.5682,1852677.409,1883222.299,2376149.699,9807937.118,0.623173796
131,421906.606,681157.748,1130.773811,0,633512.2785,661099.7602,1069485.071,3468292.237,0.681631462
132,282050.5814,1125970.772,0,0,901402.6924,775910.7946,1507178.519,4592513.36,0.693409416
